Country,ADM1,Type,Affected Population Share,Start,End,Source,Comment
Germany,North Rhine-Westphalia,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Bavaria,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Lower Saxony,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Hesse,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Rhineland-Palatinate,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Berlin,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Hamburg,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Schleswig-Holstein,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Thuringia,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Saxony-Anhalt,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Saarland,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Bremen,School Closings,1,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,,Border Closing,1,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Germany,,Cancelation of Large Events (>1000),1,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Germany,,Social Distancing Encouraged,1,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Germany,,Restaurant/Bar Closure,1,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Germany,Baden-Württemberg,School Closings,1,17.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Saxony,School Closings,1,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Brandenburg,School Closings,1,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Mecklenburg-Vorpommern,School Closings,1,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,Bavaria,Curfew (Lockdown of All Non-Essential Public Life),1,20.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Germany,Saarland,Curfew (Lockdown of All Non-Essential Public Life),1,21.3.2020,,https://www.spiegel.de/politik/deutschland/coronavirus-saarland-plant-ausgangsverbote-a-742c87c1-cf02-4512-a17d-a78a3bd4edbf,
Germany,Baden-Württemberg,Curfew (Lockdown of All Non-Essential Public Life),"0,02",21.3.2020,,https://www.fr.de/panorama/coronavirus-pandemie-deutschland-angela-merkel-haelt-rede-zr-13604049.html,Freiburg/Breisgau
Germany,Saxony,Curfew (Lockdown of All Non-Essential Public Life),"0,13",21.3.2020,,https://www.wochenkurier.info/corona-virus/artikel/dresden-verhaengt-ausgangssperre-75602/,Dresden
Japan,,Social Distancing Encouraged,1,25.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response,
Japan,,Cancelation of Large Events (>1000),1,25.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response,
Japan,,Cluster Tracking and Containment,1,25.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response,
Japan,,School Closings,1,2.3.2020,,https://www.straitstimes.com/asia/east-asia/coronavirus-japan-to-close-all-public-schools-for-a-month-starting-march-2,
Spain,Basque Country,School Closings,"0,11",10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,Basque Country,University Closings,"0,11",10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,Madrid,Border Closing,1,10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,Madrid,School Closings,1,11.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
