Country,ISO Code,Region,ADM1,Affected Pop Share,Type,Meta (e.g. group size thresholds,Start,End,Source,Comment
Belgium,BEL,,,"1,00",Social Distancing Encouraged,,10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,
Belgium,BEL,,,"1,00",First Death,,11.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,
Belgium,BEL,,,"1,00",Cancelation of Large Events,0,13.3.2020,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/,
Belgium,BEL,,,"1,00",School Closings,,13.3.2020,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/,
Belgium,BEL,,,"1,00",Restaurant/Bar Closure,,13.3.2020,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/,
Belgium,BEL,,,"1,00",Public Talk of Central Govt Figure,King,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,
Belgium,BEL,,,"1,00","Curfew (Mild, Only Private Public Life)",,18.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,
Belgium,BEL,,,"1,00",Border Closing,,20.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,
Switzerland,CHE,,,"1,00",Cancelation of Large Events,1000,28.2.2020,12.3.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CHE,,,"1,00",Cancelation of Large Events,100,13.3.2020,19.3.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CHE,,,"1,00",School Closings,,13.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CHE,,,"1,00",University Closings,,13.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CHE,,,"1,00",Border Closing,,13.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CHE,,,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CHE,,,"1,00",Ban of Group Gatherings,5,20.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Spain,ESP,Basque Country,PV,"0,11",School Closings,,10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ESP,Basque Country,PV,"0,11",University Closings,,10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ESP,Madrid,MD,"1,00",Border Closing,,10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ESP,La Rioja,RI,"1,00",School Closings,,11.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ESP,La Rioja,RI,"1,00",University Closings,,11.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ESP,Madrid,MD,"1,00",School Closings,,11.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ESP,Madrid,MD,"1,00",University Closings,,11.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ESP,Madrid,MD,"1,00",Restaurant/Bar Closure,,13.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ESP,,,"1,00",Curfew (Lockdown of All Non-Essential Public Life),,14.3.2020,,https://www.theguardian.com/world/2020/mar/14/spain-government-set-to-order-nationwide-coronavirus-lockdown,
France,FRA,,,"1,00",Ban of Group Gatherings,5000,5.3.2020,9.3.2020,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,FRA,Corse,COR,"1,00",Ban of Group Gatherings,50,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,FRA,Grand Est,GES,"0,14",Ban of Group Gatherings,50,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,Haut-Rhin
France,FRA,Corse,COR,"1,00",School Closings,,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,FRA,Grand Est,GES,"0,14",School Closings,,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,Haut-Rhin
France,FRA,Hauts-de-France,HDF,"0,14",Ban of Group Gatherings,50,9.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,oise
France,FRA,Hauts-de-France,HDF,"0,14",School Closings,,9.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,oise
France,FRA,,,"1,00",Ban of Group Gatherings,1000,10.3.2020,13.3.2020,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,FRA,,,"1,00",Ban of Group Gatherings,100,13.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Europe#France,
France,FRA,,,"1,00",Restaurant/Bar Closure,,14.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Europe#France,
France,FRA,,,"1,00",School Closings,,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Europe#France,
France,FRA,,,"1,00",University Closings,,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Europe#France,
France,FRA,,,"1,00","Curfew (Mild, Only Private Public Life)",,17.3.2020,,https://www.gouvernement.fr/info-coronavirus,work (when homeoffice infeasible) and individual reacreational activities outside allowed
United Kingdom,GBR,,,"1,00",First Death,,4.3.2020,,https://www.bbc.co.uk/news/uk-51759602,
United Kingdom,GBR,North Ireland,NIR,"1,00",School Closings,,18.3.2020,,https://www.itv.com/news/2020-03-18/coronavirus-outbreak-wales-school-closing-by-friday-highly-possible-scottish-schools-will-shut/,
United Kingdom,GBR,,,"1,00",Public Talk of Central Govt Figure,Queen,19.3.2020,,https://www.royal.uk/message-her-majesty-queen-19th-march-2020,
United Kingdom,GBR,Wales,WLS,"1,00",School Closings,,20.3.2020,,https://www.bbc.co.uk/news/uk-wales-51947148,
United Kingdom,GBR,Schotland,SCT,"1,00",School Closings,,20.3.2020,,https://www.bbc.co.uk/news/uk-scotland-51947670,
United Kingdom,GBR,England,ENG,"1,00",School Closings,,20.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_Kingdom#cite_note-172,
United Kingdom,GBR,,,"1,00",Restaurant/Bar Closure,,21.3.2020,,https://www.cnbc.com/2020/03/20/coronavirus-uk-pm-announces-lockdown-measures-in-london.html,
Germany,GER,,,"1,00",Cancelation of Large Events,1000,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Germany,GER,Bavaria,BY,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Berlin,BE,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Bremen,HB,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
