Country,ISO Code,Region,ADM1,Affected Pop Share,Type,Meta (e.g. group size thresholds,Start,End,Source,Comment
Belgium,BE,,,"1,00",Border Closing,,20.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,
Belgium,BE,,,"1,00",Cancelation of Large Events,0,13.3.2020,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/,
Belgium,BE,,,"1,00","Curfew (Mild, Only Private Public Life)",,18.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,
Belgium,BE,,,"1,00",Public Talk of Central Govt Figure,King,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,
Belgium,BE,,,"1,00",Restaurant/Bar Closure,,13.3.2020,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/,
Belgium,BE,,,"1,00",School Closings,,13.3.2020,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/,
Belgium,BE,,,"1,00",Social Distancing Encouraged,,10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,
France,FR,,,"1,00",Ban of Group Gatherings,5000,5.3.2020,9.3.2020,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,FR,Corse,94,"1,00",Ban of Group Gatherings,50,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,FR,Grand Est,44,"0,14",Ban of Group Gatherings,50,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,Haut-Rhin
France,FR,Hauts-de-France,32,"0,14",Ban of Group Gatherings,50,9.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,oise
France,FR,,,"1,00",Ban of Group Gatherings,1000,10.3.2020,13.3.2020,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,FR,,,"1,00",Ban of Group Gatherings,100,13.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Europe#France,
France,FR,,,"1,00",Border Closing,,17.3.2020,,https://www.bbc.com/news/world-europe-51918596,
France,FR,,,"1,00",Cancelation of Large Events,1000,9.3.2020,,https://www.northstarmeetingsgroup.com/News/Industry/Coronavirus-countries-cities-ban-events-meetings,
France,FR,,,"1,00",Curfew (Lockdown of All Non-Essential Public Life),,20.3.2020,,https://www.reuters.com/article/us-health-coronavirus-france-doctors/france-toughens-lockdown-penalties-as-coronavirus-kills-medic-idUSKBN2190L0,
France,FR,,,"1,00","Curfew (Mild, Only Private Public Life)",,17.3.2020,19.3.2020,https://www.gouvernement.fr/info-coronavirus,work (when homeoffice infeasible) and individual reacreational activities outside allowed
France,FR,,,"1,00",Daycare Closings,,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Europe#France,
France,FR,,,"1,00",Restaurant/Bar Closure,,14.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Europe#France,
France,FR,Corse,94,"1,00",School Closings,,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,FR,Grand Est,44,"0,14",School Closings,,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,Haut-Rhin
France,FR,Hauts-de-France,32,"0,14",School Closings,,9.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,oise
France,FR,,,"1,00",School Closings,,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Europe#France,
France,FR,,,"1,00",Public Talk of Central Govt Figure,Macron,16.3.2020,,https://www.nytimes.com/2020/03/16/world/europe/coronavirus-france-macron-travel-ban.html,
