record_id,entry_time,national_entry,country,country_name,admin1,admin1_name,locality,intervention_specific_clean,date_of_update,status,status_simp,subpopulation,required,enforcement,size,duration,testing_population,source_url,entry_quality,details,required_new,intervention_f
3,2020-03-28T23:23:20Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening when entering by air,2020-01-21,required,Strongly Implemented,geographic subpopulation,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/dm90237ad4jda4c/3_symp_screening.zip?dl=1'>link</a>,Unverified,"Implemented in Shermemetyevo  Vnukovo airport (Moscow), in addition to two other airports. Screening of all passengers from airplanes arriving from China, though loose enough to include passengers from countries significantly affected by coronavirus (Vnukovo explicitly includes Thailand as of 23012020).",required,Symptom screening when entering by air
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Contact tracing,2020-02-21,complete contact tracing,Strongly Implemented,NA,NA,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/2p9m8nov3g28rt3/4_contact_tracing.pdf?dl=1'>link</a>,Unverified,"Date of implementation is probably before this date (some time between 21 Jan and 21 February). Complete contact tracing of any presumed cases (eg one positive test, but not necessarily confirmed case); contacts are told to remain under quarantine. Facial recognition and other technology used to identify some contacts.",required,Contact tracing
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Testing of asymptomatic individuals,2020-02-21,some,Partially Implemented,NA,NA,NA,NA,NA,travel history;contact with case,<a href='https://www.dropbox.com/s/t04ss0v86a6z6vi/4_testing_asymp.pdf?dl=1'>link</a>,Unverified,"Implemented some time between 21 Jan and 21 Feb. All passengers arriving from China are tested upon arrival at the airport, even those that are asymptomatic. They are tested again at day 10 of selfisolation/quarantine.Contacts of cases (including presumed cases) may also be tested.",required,Testing of asymptomatic individuals
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening when entering by land,2020-02-21,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/1c9ftldxr8ityv5/4_symp_screening.pdf?dl=1'>link</a>,Unverified,"Policy probably started before the report date; screening at stations (not specified bus or train, but probably both), aiming to get people who recently arrived from China.",required,Symptom screening when entering by land
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-02-21,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/1c9ftldxr8ityv5/4_symp_screening.pdf?dl=1'>link</a>,Unverified,"Policy probably started before the report date; screening at stations for those that arrived from China to St Petersburg, and then traveled from St Petersburg to Moscow.",required,Symptom screening at checkpoints within borders
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Nursery school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/jhhjvqlgfbdtzdq/7_school_closed.zip?dl=1'>link</a>,Unverified,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",required,Nursery school closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Primary school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/jhhjvqlgfbdtzdq/7_school_closed.zip?dl=1'>link</a>,Unverified,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",required,Primary school closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Secondary school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/jhhjvqlgfbdtzdq/7_school_closed.zip?dl=1'>link</a>,Unverified,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",required,Secondary school closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Post-secondary school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/jhhjvqlgfbdtzdq/7_school_closed.zip?dl=1'>link</a>,Unverified,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",required,Post-secondary school closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Household confinement,2020-03-23,fully restricted,Strongly Implemented,entire population,required,Yes,NA,NA,NA,<a href='https://www.dropbox.com/s/ovt6nuj1do7t04d/7_household_confined.pdf?dl=1'>link</a>,Unverified,NA,required,Household confinement
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Office closures,2020-03-26,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/rf2sl6hob1vxan6/7_office_closed.pdf?dl=1'>link</a>,Unverified,"businesses and workplaces should encourage their employees to work at home, wherever possible. With the exception of some nonessential shops and public venues, we are not asking any other businesses to close  indeed it is important for business to carry on.",required,Office closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,"Leisure, entertainment, and religious venue closures",2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/ua1mztn9xmexkz5/7_entertainment_closed.pdf?dl=1'>link</a>,Unverified,"Exceptions for assembly and leisure (1) Small group performances for the purposes of live streaming could be permissible where Public Health England guidelines are observed and no audience attend the venue. (2) Any suitable assembly or leisure premises may open for blood donation sessions.Exception for places of worship (1) Funerals in places of worship and crematoria, where the congregation are members of the deceaseds household or close family. In a case where no members of the deceaseds household or family members are attending, friends can attend. A distance of two metres should be maintained between every household group, as per Public Health England guidelines. (2) For the purpose of hosting essential voluntary or public service, such as food banks, homeless services, and blood donation sessions.",required,"Leisure, entertainment, and religious venue closures"
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Retail store closures (excluding essentials),2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/xqh5h2eb0yorawp/7_store_closed.pdf?dl=1'>link</a>,Unverified,"Exceptions include Supermarkets and other food shops Medical services (such as dental surgeries, opticians and audiology clinics, physiotherapy clinics, chirpody and podiatry clinics, and other professional vocational medical services) Pharmacies and chemists, including nondispensing pharmacies Petrol stations Bicycle shops Hardware shops and equipment, plant and tool hire Veterinary surgeries and pet shops Agricultural supplies shops Corner shops and newsagents Offlicences and licenced shops selling alcohol, including those within breweries Laundrettes and dry cleaners Post offices Vehicle rental services Car garages and MOT services Car parks High street banks, building societies, shortterm loan providers, credit unions and cash points Storage and distribution facilities, including delivery drop off points where they are on the premises of any of the above businesses Public toilets Shopping centres may stay open but only units of the types listed above may trade",required,Retail store closures (excluding essentials)
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Public transportation closures,2020-03-23,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/1ixe04mjv2ulrmt/7_public_transport_closed.zip?dl=1'>link</a>,Unverified,"From Monday 23 March, Network Rail will be running a reduced timetable to keep trains moving for essential workers and services. As of March 28, 2020, Arriva bus have had to reduce the frequency of some services.A reduced service is operating on all London Underground, London Overground, DLR, TfL Rail and London Trams.",recommended,Public transportation closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Public space closures,2020-03-23,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/j1ctxo2rbtl8q9w/7_public_space_closed.zip?dl=1'>link</a>,Unverified,"Outdoor markets closed except for market stalls which offer essential retail, such as grocery and food. Caravan parks closed unless people live permanently there. Libraries closed. Playgrounds, sports courts and pitches, and outdoor gyms or similar closed. National parks dont appear to be closed, but they strongly encourage people to stay home and not visit.",required,Public space closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Limiting size of gatherings,2020-03-23,required,Strongly Implemented,entire population,required,NA,2,NA,NA,<a href='https://www.dropbox.com/s/mdszaud7vl8s2xt/7_social_group_limits.pdf?dl=1'>link</a>,Unverified,Gatherings of more than two people have been banned in the UK to stop the spread of Covid19.,required,Limiting size of gatherings
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Restaurant closures (excluding takeout/delivery),2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/olauhf8fu4hlsl6/7_restaurant_closed.pdf?dl=1'>link</a>,Unverified,"Restaurants and public houses, wine bars or other food and drink establishments including within hotels and members clubs closed.Exceptions to cafes and canteens being closed (1) Caf'es and canteens at hospitals, police and fire service places of work, care homes or schools; prison and military canteens; services providing food or drink to the homeless. (2) Where there are no practical alternatives, other workplace canteens can remain open to provide food for their staff and/or provide a space for breaks. However, where possible, staff should be encouraged to bring their own food, and distributors should move to takeaway. Measures should be taken to minimise the number of people in the canteen / break space at any one given time, for example by using a rota.",required,Restaurant closures (excluding takeout/delivery)
11,2020-03-29T09:58:54Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-02-27,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/w8kqhi2801lgazr/11_symp_screening.zip?dl=1'>link</a>,Unverified,"A prikaz of Department of Education and Science of Moscow City orders schools to implement morning filters, which means that at entry to school, students are screened, including a temperature check. During the day, their health is supposed to be monitored, although its not specified how. Children with elevated temperature of other symptoms are to be isolated before their caregivers can take them home, and their information should be shared with a health clinic.",required,Symptom screening at checkpoints within borders
12,2020-03-29T10:18:43Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-03-02,required,Strongly Implemented,random sample,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/nemm5ja3xl281h3/12_symp_screening.pdf?dl=1'>link</a>,Unverified,Could have been implemented a little before this date; unclear exactly when. Screening of a sample of people at entrance to the metro in Moscow,required,Symptom screening at checkpoints within borders
13,2020-03-29T10:23:14Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-03-02,recommended,Partially Implemented,other subpopulation,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/i3vrihdf5wyt8dt/13_symp_screening.pdf?dl=1'>link</a>,Unverified,Recommendation to employees to measure temperature of their employees,recommended,Symptom screening at checkpoints within borders
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Nursery school closures,2020-03-14,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/o5qmizo492v7saq/14_school_closed.pdf?dl=1'>link</a>,Unverified,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory.",recommended,Nursery school closures
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Primary school closures,2020-03-14,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/o5qmizo492v7saq/14_school_closed.pdf?dl=1'>link</a>,Unverified,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory.",recommended,Primary school closures
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Secondary school closures,2020-03-14,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/o5qmizo492v7saq/14_school_closed.pdf?dl=1'>link</a>,Unverified,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory.",recommended,Secondary school closures
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Limiting size of gatherings,2020-03-10,required,Strongly Implemented,entire population,required,NA,5000,NA,NA,<a href='https://www.dropbox.com/s/zc27pnncxf4w5tg/14_social_group_limits.pdf?dl=1'>link</a>,Unverified,Ban on mass gatherings and events of more than 5000 participants; anticipated to last until April 10 2020.,required,Limiting size of gatherings
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-03-05,required,Strongly Implemented,geographic subpopulation,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/kgfnicakvx98ux6/14_symp_screening.pdf?dl=1'>link</a>,Unverified,"Employers are not required (not just recommended) to screen at workplace, including temperature. Employees with elevated temperature or other symptoms are to be sent home.",required,Symptom screening at checkpoints within borders
17,2020-03-29T14:29:18Z,No,CHN,China,CHN.6_1,Guangdong,NA,State of emergency,2020-01-23,yes,Strongly Implemented,NA,NA,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/d0r7euel9jcw6jj/17_state_of_emergency.pdf?dl=1'>link</a>,Verified,Level 1 emergency response level effective in Guangdong province,required,State of emergency
