record_id,entry_time,national_entry,country,country_name,admin1,admin1_name,locality,intervention_specific_clean,date_of_update,status,status_simp,subpopulation,required,enforcement,size,duration,testing_population,details,required_new,intervention_f
3,2020-03-28T23:23:20Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening when entering by air,2020-01-21,required,Strongly Implemented,geographic subpopulation,required,NA,NA,NA,NA,"Implemented in Shermemetyevo  Vnukovo airport (Moscow), in addition to two other airports. Screening of all passengers from airplanes arriving from China, though loose enough to include passengers from countries significantly affected by coronavirus (Vnukovo explicitly includes Thailand as of 23012020).",required,Symptom screening when entering by air
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Contact tracing,2020-02-21,complete contact tracing,Strongly Implemented,NA,NA,NA,NA,NA,NA,"Date of implementation is probably before this date (some time between 21 Jan and 21 February). Complete contact tracing of any presumed cases (eg one positive test, but not necessarily confirmed case); contacts are told to remain under quarantine. Facial recognition and other technology used to identify some contacts.",required,Contact tracing
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Testing of asymptomatic individuals,2020-02-21,some,Partially Implemented,NA,NA,NA,NA,NA,travel history;contact with case,"Implemented some time between 21 Jan and 21 Feb. All passengers arriving from China are tested upon arrival at the airport, even those that are asymptomatic. They are tested again at day 10 of selfisolation/quarantine.Contacts of cases (including presumed cases) may also be tested.",required,Testing of asymptomatic individuals
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening when entering by land,2020-02-21,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,"Policy probably started before the report date; screening at stations (not specified bus or train, but probably both), aiming to get people who recently arrived from China.",required,Symptom screening when entering by land
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-02-21,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,"Policy probably started before the report date; screening at stations for those that arrived from China to St Petersburg, and then traveled from St Petersburg to Moscow.",required,Symptom screening at checkpoints within borders
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Nursery school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",required,Nursery school closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Primary school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",required,Primary school closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Secondary school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",required,Secondary school closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Post-secondary school closures,2020-03-20,partially closed,Partially Implemented,other subpopulation,required,NA,NA,NA,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.",required,Post-secondary school closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Household confinement,2020-03-23,fully restricted,Strongly Implemented,entire population,required,Yes,NA,NA,NA,NA,required,Household confinement
