"","V1"
"1","Mainland China"
"2","Hong Kong"
"3","Macau"
"4","Taiwan"
"5","US"
"6","Japan"
"7","Thailand"
"8","South Korea"
"9","Singapore"
"10","Philippines"
"11","Malaysia"
"12","Vietnam"
"13","Australia"
"14","Mexico"
"15","Brazil"
"16","Colombia"
"17","France"
"18","Nepal"
"19","Canada"
"20","Cambodia"
"21","Sri Lanka"
"22","Ivory Coast"
"23","Germany"
"24","Finland"
"25","United Arab Emirates"
"26","India"
"27","Italy"
"28","UK"
"29","Russia"
"30","Sweden"
"31","Spain"
"32","Belgium"
"33","Others"
"34","Egypt"
"35","Iran"
"36","Israel"
"37","Lebanon"
"38","Iraq"
"39","Oman"
"40","Afghanistan"
"41","Bahrain"
"42","Kuwait"
"43","Austria"
"44","Algeria"
"45","Croatia"
"46","Switzerland"
"47","Pakistan"
"48","Georgia"
"49","Greece"
"50","North Macedonia"
"51","Norway"
"52","Romania"
"53","Denmark"
"54","Estonia"
"55","Netherlands"
"56","San Marino"
"57"," Azerbaijan"
"58","Belarus"
"59","Iceland"
"60","Lithuania"
"61","New Zealand"
"62","Nigeria"
"63","North Ireland"
"64","Ireland"
"65","Luxembourg"
"66","Monaco"
"67","Qatar"
"68","Ecuador"
"69","Azerbaijan"
"70","Czech Republic"
"71","Armenia"
"72","Dominican Republic"
"73","Indonesia"
"74","Portugal"
"75","Andorra"
"76","Latvia"
"77","Morocco"
"78","Saudi Arabia"
"79","Senegal"
"80","Argentina"
"81","Chile"
"82","Jordan"
"83","Ukraine"
"84","Saint Barthelemy"
"85","Hungary"
"86","Faroe Islands"
"87","Gibraltar"
"88","Liechtenstein"
"89","Poland"
"90","Tunisia"
"91","Palestine"
"92","Bosnia and Herzegovina"
"93","Slovenia"
"94","South Africa"
"95","Bhutan"
"96","Cameroon"
"97","Costa Rica"
"98","Peru"
"99","Serbia"
"100","Slovakia"
"101","Togo"
"102","Vatican City"
"103","French Guiana"
"104","Malta"
"105","Martinique"
"106","Republic of Ireland"
"107","Bulgaria"
"108","Maldives"
"109","Bangladesh"
"110","Moldova"
"111","Paraguay"
"112","Albania"
"113","Cyprus"
"114","St. Martin"
"115","Brunei"
"116","occupied Palestinian territory"
"117","('St. Martin',)"
"118","Burkina Faso"
"119","Channel Islands"
"120","Holy See"
"121","Mongolia"
"122","Panama"
"123","Bolivia"
"124","Honduras"
"125","Congo (Kinshasa)"
"126","Jamaica"
"127","Reunion"
"128","Turkey"
"129","Cuba"
"130","Guyana"
"131","Kazakhstan"
"132","Cayman Islands"
"133","Guadeloupe"
"134","Ethiopia"
"135","Sudan"
"136","Guinea"
"137","Antigua and Barbuda"
"138","Aruba"
"139","Kenya"
"140","Uruguay"
"141","Ghana"
"142","Jersey"
"143","Namibia"
"144","Seychelles"
"145","Trinidad and Tobago"
"146","Venezuela"
"147","Curacao"
"148","Eswatini"
"149","Gabon"
"150","Guatemala"
"151","Guernsey"
"152","Mauritania"
"153","Rwanda"
"154","Saint Lucia"
"155","Saint Vincent and the Grenadines"
"156","Suriname"
"157","Kosovo"
"158","Central African Republic"
"159","Congo (Brazzaville)"
"160","Equatorial Guinea"
"161","Uzbekistan"
"162","Guam"
"163","Puerto Rico"
"164","Benin"
"165","Greenland"
"166","Liberia"
"167","Mayotte"
"168","Republic of the Congo"
"169","Somalia"
"170","Tanzania"
"171","The Bahamas"
"172","Barbados"
"173","Montenegro"
"174","The Gambia"
"175","Kyrgyzstan"
"176","Mauritius"
"177","Zambia"
"178","Djibouti"
"179","Gambia, The"
"180","Bahamas, The"
"181","Chad"
"182","El Salvador"
"183","Fiji"
"184","Nicaragua"
