"","V1"
"1",""
"2"," Montreal, QC"
"3"," Norfolk County, MA"
"4","Alabama"
"5","Alameda County, CA"
"6","Alaska"
"7","Alberta"
"8","Anhui"
"9","Arizona"
"10","Arkansas"
"11","Ashland, NE"
"12","Australian Capital Territory"
"13","Bavaria"
"14","Beijing"
"15","Bennington County, VT"
"16","Bergen County, NJ"
"17","Berkeley, CA"
"18","Berkshire County, MA"
"19","Bermuda"
"20","Boston, MA"
"21","British Columbia"
"22","Broward County, FL"
"23","Calgary, Alberta"
"24","California"
"25","Carver County, MN"
"26","Cayman Islands"
"27","Channel Islands"
"28","Charleston County, SC"
"29","Charlotte County, FL"
"30","Chatham County, NC"
"31","Cherokee County, GA"
"32","Chicago"
"33","Chicago, IL"
"34","Chongqing"
"35","Clark County, NV"
"36","Clark County, WA"
"37","Cobb County, GA"
"38","Collin County, TX"
"39","Colorado"
"40","Connecticut"
"41","Contra Costa County, CA"
"42","Cook County, IL"
"43","Cruise Ship"
"44","Curacao"
"45","Davidson County, TN"
"46","Davis County, UT"
"47","Delaware"
"48","Delaware County, PA"
"49","Denmark"
"50","Denver County, CO"
"51","Diamond Princess cruise ship"
"52","District of Columbia"
"53","Douglas County, CO"
"54","Douglas County, NE"
"55","Douglas County, OR"
"56","Edmonton, Alberta"
"57","El Paso County, CO"
"58","Fairfax County, VA"
"59","Fairfield County, CT"
"60","Faroe Islands"
"61","Fayette County, KY"
"62","Fench Guiana"
"63","Florida"
"64","Floyd County, GA"
"65","Fort Bend County, TX"
"66","France"
"67","French Guiana"
"68","French Polynesia"
"69","Fresno County, CA"
"70","From Diamond Princess"
"71","Fujian"
"72","Fulton County, GA"
"73","Gansu"
"74","Georgia"
"75","Gibraltar"
"76","Grafton County, NH"
"77","Grand Princess"
"78","Grand Princess Cruise Ship"
"79","Grant County, WA"
"80","Guadeloupe"
"81","Guam"
"82","Guangdong"
"83","Guangxi"
"84","Guizhou"
"85","Hainan"
"86","Harford County, MD"
"87","Harris County, TX"
"88","Harrison County, KY"
"89","Hawaii"
"90","Hebei"
"91","Heilongjiang"
"92","Henan"
"93","Hendricks County, IN"
"94","Hillsborough, FL"
"95","Hong Kong"
"96","Honolulu County, HI"
"97","Hubei"
"98","Hudson County, NJ"
"99","Humboldt County, CA"
"100","Hunan"
"101","Idaho"
"102","Illinois"
"103","Indiana"
"104","Inner Mongolia"
"105","Iowa"
"106","Jackson County, OR "
"107","Jefferson County, KY"
"108","Jefferson County, WA"
"109","Jefferson Parish, LA"
"110","Jiangsu"
"111","Jiangxi"
"112","Jilin"
"113","Johnson County, IA"
"114","Johnson County, KS"
"115","Kansas"
"116","Kentucky"
"117","Kershaw County, SC"
"118","King County, WA"
"119","Kittitas County, WA"
"120","Klamath County, OR"
"121","Lackland, TX"
"122","Lackland, TX (From Diamond Princess)"
"123","Lee County, FL"
"124","Liaoning"
"125","London, ON"
"126","Los Angeles, CA"
"127","Louisiana"
"128","Macau"
"129","Madera County, CA"
"130","Madison, WI"
"131","Maine"
"132","Manatee County, FL"
"133","Manitoba"
"134","Maricopa County, AZ"
"135","Marion County, IN"
"136","Marion County, OR"
"137","Maryland"
"138","Massachusetts"
"139","Mayotte"
"140","Michigan"
"141","Middlesex County, MA"
"142","Minnesota"
"143","Mississippi"
"144","Missouri"
"145","Montana"
"146","Montgomery County, MD"
"147","Montgomery County, PA"
"148","Montgomery County, TX"
"149","Montserrat"
"150","Nassau County, NY"
"151","Nebraska"
"152","Netherlands"
"153","Nevada"
"154","New Brunswick"
"155","New Caledonia"
"156","New Hampshire"
"157","New Jersey"
"158","New Mexico"
"159","New South Wales"
"160","New York"
"161","New York City, NY"
"162","New York County, NY"
"163","Newfoundland and Labrador"
"164","Ningxia"
"165","None"
"166","Norfolk County, MA"
"167","North Carolina"
"168","North Dakota"
"169","Northern Territory"
"170","Norwell County, MA"
"171","Nova Scotia"
