"","code","name","name_ascii","id"
"1","AD.05","Ordino","Ordino",3039676
"2","AD.04","La Massana","La Massana",3040131
"3","AD.03","Encamp","Encamp",3040684
"4","AD.02","Canillo","Canillo",3041203
"5","AD.07","Andorra la Vella","Andorra la Vella",3041566
"6","AD.08","Escaldes-Engordany","Escaldes-Engordany",3338529
"7","AE.07","Umm al Qaywayn","Umm al Qaywayn",290595
"8","AE.05","Ra's al Khaymah","Ra's al Khaymah",291075
"9","AE.03","Dubai","Dubai",292224
"10","AE.06","Sharjah","Sharjah",292673
"11","AE.04","Fujairah","Fujairah",292879
"12","AE.02","Ajman","Ajman",292933
"13","AE.01","Abu Dhabi","Abu Dhabi",292969
"14","AF.28","Zabul","Zabul",1121143
"15","AF.27","Vardak","Vardak",1121863
"16","AF.26","Takhar","Takhar",1123230
"17","AF.33","Sar-e Pol","Sar-e Pol",1127106
"18","AF.32","Samangan","Samangan",1127766
"19","AF.40","Parwan","Parwan",1131054
"20","AF.29","Paktika","Paktika",1131256
"21","AF.36","Paktia","Paktia",1131257
"22","AF.39","Oruzgan","Oruzgan",1131461
"23","AF.19","Nimroz","Nimroz",1131821
"24","AF.18","Nangarhar","Nangarhar",1132366
"25","AF.17","Logar","Logar",1134561
"26","AF.35","Laghman","Laghman",1135022
"27","AF.24","Kunduz","Kunduz",1135690
"28","AF.34","Kunar","Kunar",1135702
"29","AF.14","Kapisa","Kapisa",1138255
"30","AF.23","Kandahar","Kandahar",1138335
"31","AF.13","Kabul","Kabul",1138957
"32","AF.31","Jowzjan","Jowzjan",1139049
"33","AF.11","Herat","Herat",1140025
"34","AF.10","Helmand","Helmand",1140043
"35","AF.09","Ghowr","Ghowr",1141103
"36","AF.08","Ghazni","Ghazni",1141268
"37","AF.07","Faryab","Faryab",1142226
"38","AF.06","Farah","Farah",1142263
"39","AF.05","Bamyan","Bamyan",1147239
"40","AF.30","Balkh","Balkh",1147288
"41","AF.03","Baghlan","Baghlan",1147537
"42","AF.02","Badghis","Badghis",1147707
"43","AF.01","Badakhshan","Badakhshan",1147745
"44","AF.37","Khowst","Khowst",1444362
